video_id,title,published_at,thumbnail_url,channel_id,view_count,like_count,comment_count,duration,subscriber_count,channel_name,performance_score,thumbnail_path,niche,visage_present,nb_personnes,expression,texte_present,texte_contenu,couleur_dominante,contraste,fond,labels,face_confidence,text_confidence,thumbnail_score
JIgqCBrnU8g,I Tortured this AI Scorpion in a Simulation for 1000 Years,2026-05-05T16:29:21Z,https://i.ytimg.com/vi/JIgqCBrnU8g/maxresdefault.jpg,UCyBpX85hCof66u1rFJYWXIg,37115,1422,101,PT9M26S,97900,cozmouz,0.0078981528770854,data/thumbnails/JIgqCBrnU8g.jpg,AI/Tech,False,0,Aucun,True,it evolved,Neutre,Élevé,Uni,"Technology,Machine,Robot,Fictional character,Digital compositing",0.0,0.0,10
UYq7KY90i4M,I Tortured this AI Humanoid in a Simulation for 1000 Years,2025-06-30T15:43:05Z,https://i.ytimg.com/vi/UYq7KY90i4M/maxresdefault.jpg,UCyBpX85hCof66u1rFJYWXIg,118718,8097,1059,PT11M23S,97900,cozmouz,0.0033967662652394,data/thumbnails/UYq7KY90i4M.jpg,AI/Tech,False,0,Aucun,True,it evolved,Neutre,Moyen,Uni,"Robot,Technology,Animation,Silver,Graphics",0.0,0.0,9
oFqwcngsts8,I Trapped this AI Centipede in a Simulation for 1000 Years,2025-03-31T16:52:09Z,https://i.ytimg.com/vi/oFqwcngsts8/maxresdefault.jpg,UCyBpX85hCof66u1rFJYWXIg,2497561,80637,2433,PT10M25S,97900,cozmouz,0.0569449739165329,data/thumbnails/oFqwcngsts8.jpg,AI/Tech,False,0,Aucun,True,it evolved,Chaud,Élevé,Uni,"Red,Orange,Arthropod",0.0,0.0,8
MLDDhjtNNQU,Simulating AI Dogs vs AI Spiders,2025-02-17T15:25:36Z,https://i.ytimg.com/vi/MLDDhjtNNQU/maxresdefault.jpg,UCyBpX85hCof66u1rFJYWXIg,70858,2589,175,PT13M38S,97900,cozmouz,0.0014771007483688,data/thumbnails/MLDDhjtNNQU.jpg,AI/Tech,False,0,Aucun,False,,Chaud,Élevé,Chargé,"Arthropod,Insect,Technology,Pest,Machine",0.0,0.0,6
MNzIazg3uE8,AI Learns to Run Faster than Cheetah,2025-01-10T14:48:30Z,https://i.ytimg.com/vi/MNzIazg3uE8/maxresdefault.jpg,UCyBpX85hCof66u1rFJYWXIg,498281,9639,513,PT10M,97900,cozmouz,0.0096395711455721,data/thumbnails/MNzIazg3uE8.jpg,AI/Tech,False,0,Aucun,True,AI,Neutre,Élevé,Uni,"Animation,Graphic design,Graphics,Performing Arts,Night",0.0,0.0,10
a99i6o4_GQE,I Trained an AI Dog Army,2024-11-28T12:51:52Z,https://i.ytimg.com/vi/a99i6o4_GQE/maxresdefault.jpg,UCyBpX85hCof66u1rFJYWXIg,24353,944,79,PT10M1S,97900,cozmouz,0.0004356459377219,data/thumbnails/a99i6o4_GQE.jpg,AI/Tech,False,0,Aucun,True,"WITH/
guns",Chaud,Élevé,Uni,Machine,0.0,0.0,8
oOtlQ5gs-Mk,I Tortured this AI Dog in an Escape Chamber for 1000 Years,2024-10-29T14:53:35Z,https://i.ytimg.com/vi/oOtlQ5gs-Mk/maxresdefault.jpg,UCyBpX85hCof66u1rFJYWXIg,476375,13037,1085,PT21M29S,97900,cozmouz,0.0080963970502006,data/thumbnails/oOtlQ5gs-Mk.jpg,AI/Tech,False,0,Aucun,True,"HELLO?
help me...",Chaud,Élevé,Chargé,"Symbol,Brick,Animation,Graphic design,Graphics",0.0,0.0,11
dqL66xD2b2s,I Trapped this AI Worm in a Simulation for 1000 Years,2024-09-23T15:54:37Z,https://i.ytimg.com/vi/dqL66xD2b2s/maxresdefault.jpg,UCyBpX85hCof66u1rFJYWXIg,2663170,71340,3276,PT10M5S,97900,cozmouz,0.0427048072312919,data/thumbnails/dqL66xD2b2s.jpg,AI/Tech,False,0,Aucun,True,it evolved,Neutre,Élevé,Uni,"Pipe,Graphics,Graphic design,Science,Animation",0.0,0.0,10
CalwKr4dREY,I Trapped this AI Bot in a Parkour Simulation,2024-08-28T13:33:34Z,https://i.ytimg.com/vi/CalwKr4dREY/maxresdefault.jpg,UCyBpX85hCof66u1rFJYWXIg,348403,8800,517,PT10M47S,97900,cozmouz,0.0053676682427508,data/thumbnails/CalwKr4dREY.jpg,AI/Tech,False,0,Aucun,False,,Neutre,Élevé,Uni,"Technology,Graphics,Animation,Graphic design,Robot",0.0,0.0,5
u647osOlrHQ,AI Learns to Run Faster than Usain Bolt | World Record,2024-07-06T14:46:45Z,https://i.ytimg.com/vi/u647osOlrHQ/maxresdefault.jpg,UCyBpX85hCof66u1rFJYWXIg,2589722,49804,2910,PT10M22S,97900,cozmouz,0.0369451498222448,data/thumbnails/u647osOlrHQ.jpg,AI/Tech,True,1,Neutre,True,"USAIN
BOLT
JAMAICA
BOLT
AI",Chaud,Élevé,Uni,"Animation,Robot,Graphics,Graphic design,Balance",0.78515625,0.0,15
